Title,Price,Capacity,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage
"The Guv'nor, Spain",£9.99 per bottle,75CL,Tempranillo,Natural Cork,Spain,"Vanilla, Blackberry, Blackcurrant",Red,ABV 14.00%,,Rich & Juicy,NV
"Bread & Butter 'Winemaker's Selection' Chardonnay 2020/21, California",£15.99 per bottle,75CL,Chardonnay,Natural Cork,USA,"Vanilla, Almond, Coconut, Green Apple, Peach, Pineapple, Stone Fruit",White,ABV 13.50%,California,Rich & Toasty,2021
"Oyster Bay Sauvignon Blanc 2022, Marlborough",£12.49 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",White,ABV 13.00%,Marlborough,Crisp & Zesty,2022
Louis Latour Mâcon-Lugny 2021/22,£17.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Peach, Apricot, Floral, Lemon",White,ABV 13.50%,Burgundy,Ripe & Rounded,2022
"Bread & Butter 'Winemaker's Selection' Pinot Noir 2021, California",£15.99 per bottle,75CL,Pinot Noir,Natural Cork,USA,"Smoke, Black Cherry, Cedar, Raspberry, Red Fruit",Red,ABV 13.50%,California,Smooth & Mellow,2021
Louis Roederer 'Cristal' Champagne 2015,£300.00 per bottle,75CL,Chardonnay,Natural Cork,France,,White,ABV 12.00%,,,2015
"La Gioiosa Prosecco DOC, Treviso",£12.99 per bottle,75CL,Glera,Natural Cork,Italy,"Green Apple, Citrus Fruit, Floral",White,ABV 11.00%,Prosecco Doc,Light & Refreshing,NV
The Macallan Sherry Oak 12 Year Old Single Malt Whisky 70cl,£80.00 per bottle,70CL,,Natural Cork,Scotland,,Brown,ABV 40.00%,,,NV
Bouvet Ladubay Saumur Brut,£13.99 per bottle,75CL,Chenin Blanc,Natural Cork,France,"Honeysuckle, Citrus Fruit",White,ABV 12.50%,Loire,Rich & Toasty,NV
"LB7 Red 2020/21, Lisbon",£8.99 per bottle,75CL,Castelão ,Natural Cork,Portugal,"Spice, Black Fruit, Black Plum, Blackberry",Red,ABV 13.50%,Lisboa,Rich & Juicy,2021
"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough",£11.99 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon",White,ABV 13.00%,Marlborough,Crisp & Zesty,2023
Moët & Chandon 'Brut Impérial' Champagne,£46.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Citrus Fruit, Biscuit, Bread",White,ABV 12.00%,,Crisp & Fruity,NV
"Chosen By Majestic Greek White 2022, Peloponnese",£11.29 per bottle,75CL,Malagousia,Screwcap,Greece,"Blossom, Lemon, Lime, Peach, Pear",White,ABV 13.00%,Greece,Fresh & Elegant ,2022
"Miraval Rosé 2021/22, Côtes de Provence",£22.99 per bottle,75CL,Cinsault,Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
Taittinger Brut Réserve Champagne,£45.99 per bottle,75CL,Chardonnay,Natural Cork,France,,White,ABV 12.50%,,Crisp & Fruity,NV
"Peyrassol 'Réserve des Templiers' Rosé 2022, Côtes de Provence",£15.99 per bottle,75CL,Cinsault,Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
Laurent-Perrier 'La Cuvée' Brut Champagne,£49.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Green Apple, Biscuit, Bread, Citrus Fruit",White,ABV 12.00%,,Crisp & Fruity,NV
Heidsieck & Co. Monopole 'Gold Top' Champagne 2018,£33.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Pear, Biscuit, Cream, Green Apple, Lemon, Quince, Red Apple",White,ABV 12.50%,,Rich & Toasty,2018
"Caves d'Esclans 'Whispering Angel' Rosé 2022, Côtes de Provence",£23.99 per bottle,75CL,Grenache,Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,ABV 13.50%,Provence,Delicate & Dry,2022
"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale",£21.99 per bottle,75CL,Shiraz,Screwcap,Australia,"Vanilla, Black Fruit, Black Pepper, Blackcurrant, Blueberry, Coffee, Jammy, Raisin, Red Fruit, Red Plum",Red,ABV 14.40%,South Australia,Bold & Spicy,2022
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2021/22,£15.99 per bottle,75CL,Chardonnay,Screwcap,France,"Peach, Apricot, Floral, Honey, Lemon",White,ABV 13.00%,Burgundy,Ripe & Rounded,2022
"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough",£12.49 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",White,ABV 12.50%,Marlborough,Crisp & Zesty,2022
"Nyetimber 'Classic Cuvée' Brut, Sussex",£42.99 per bottle,75CL,Chardonnay,Natural Cork,England,"Peach, Biscuit, Bread, Citrus Fruit, Green Apple",White,ABV 12.00%,Sussex,Rich & Toasty,NV
La Gioiosa Prosecco Valdobbiadene DOCG,£15.99 per bottle,75CL,Glera,Natural Cork,Italy,"Pear, Citrus Fruit, Floral, Green Apple",White,ABV 11.00%,Prosecco Docg,Crisp & Fruity,NV
"Definition English Sparkling Brut, Hampshire",£29.99 per bottle,75CL,Chardonnay,Natural Cork,England,"Citrus Fruit, Cream, Green Apple, Pastry",White,ABV 12.00%,Hampshire,Crisp & Fruity,NV
"Chapel Down Brut, Kent",£29.99 per bottle,75CL,Pinot Noir,Natural Cork,England,"Pear, Cream, Green Apple",White,ABV 13.00%,Kent,Crisp & Fruity,NV
"Mud House Sauvignon Blanc 2022, Marlborough",£11.99 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",White,ABV 12.50%,Marlborough,Crisp & Zesty,2022
"Château de Berne ‘Inspiration’ Rosé 2021/22, Côtes de Provence",£17.99 per bottle,75CL,Grenache,Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
"Domaine La Chautarde Rosé 2022, Côteaux Varois en Provence",£13.99 per bottle,75CL,Grenache,Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
Marqués de Riscal Rioja Reserva 2018/19,£17.99 per bottle,75CL,Tempranillo,Natural Cork,Spain,"Vanilla, Black Fruit, Red Fruit",Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2019
"Ridgeview 'Cavendish' Brut, Sussex",£39.99 per bottle,750ML,Pinot Noir,Natural Cork,England,"Almond, Lemon, Red Cherry, Toast",White,ABV 12.00%,Sussex,Rich & Toasty,NV
"The Ned ‘Skyscraper’ Sauvignon Blanc 2022, Marlborough",£14.99 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Grapefruit, Grass, Green Apple, Lemon, Stone Fruit, Tropical Fruit, Wet Stones",White,ABV 13.50%,Marlborough,Crisp & Zesty,2022
"The Guv'nor VIP, Spain",£11.99 per bottle,75CL,Tempranillo,Natural Cork,Spain,"Cloves, Nutmeg, Ripe Fruit",Red,ABV 14.00%,,Smooth & Mellow,NV
Chanoine Frères 'Réserve Privée' Brut Champagne,£45.99 per bottle,75CL,Pinot Noir,Natural Cork,France,"Bread, Citrus Fruit",White,ABV 12.50%,,Rich & Toasty,NV
"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California",£15.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,USA,"Vanilla, Black Pepper, Blackcurrant, Coffee",Red,ABV 13.50%,California,Smooth & Mellow,2021
"Balfour ‘The White’ 2021, Kent",£16.99 per bottle,750ML,Bacchus,Screwcap,England,"Apricot, Blossom, Dried Herbs, Peach",White,ABV 11.00%,Kent,Crisp & Zesty,2021
Lanson 'Le Black Creation' Brut Champagne,£42.99 per bottle,75CL,Pinot Noir,Natural Cork,France,"Honey, Bread, Citrus Fruit",White,ABV 12.50%,,Crisp & Fruity,NV
Jas des Vignes Rosé Méditerranée 2021/22,£11.99 per bottle,75CL,Grenache,Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,ABV 13.00%,Other France,Delicate & Dry,2022
"The Gathering Storm Red 2022, Spain",£7.99 per bottle,75CL,Tempranillo,Screwcap,Spain,,Red,ABV 12.00%,,Soft & Fruity,2022
"Peyrassol ‘Les Commandeurs’ Organic Rosé, Côtes de Provence 2022",£18.99 per bottle,75CL,Grenache,Natural Cork,France,"Citrus Fruit, Red Fruit, Mineral",Rosé,ABV 13.00%,Provence,Delicate & Dry,2022
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc",£11.99 per bottle,75CL,Viognier,Screwcap,France,"Peach, Apricot, Blossom",White,ABV 13.50%,Languedoc-Roussillon,Aromatic & Floral,2022
"Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022",£9.99 per bottle,75CL,Pinot Grigio,Screwcap,Italy,"Lime, Floral, Lemon",White,ABV 12.50%,Veneto,Smooth & Light,2022
"Nyetimber Brut Rosé, Sussex",£49.99 per bottle,75CL,Chardonnay,Natural Cork,England,"Red Fruit, Pastry, Raspberry",Rosé,ABV 12.00%,Sussex,Crisp & Fruity,NV
"Brancott Estate Sauvignon Blanc 2022, Marlborough",£12.49 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Grass, Green Apple, Green Bell Pepper, Lemon, Tropical Fruit",White,ABV 13.50%,Marlborough,Crisp & Zesty,2022
Cave de Lugny 'Les Chenaudières' Bourgogne Chardonnay 2022,£14.99 per bottle,75CL,Chardonnay,Screwcap,France,"Vanilla, Butter, Lemon, Peach",White,ABV 13.00%,Burgundy,Ripe & Rounded,2022
"The Guv'nor Rosé, Spain",£8.99 per bottle,75CL,Garnacha,Screwcap,Spain,"Nectarine, Raspberry, Strawberry",Rosé,ABV 13.00%,,Ripe & Fruity,NV
"Chapel Down English Sparkling Rosé, Kent",£29.99 per bottle,75CL,Pinot Noir,Natural Cork,England,"Strawberry, Raspberry, Red Fruit",Rosé,ABV 12.00%,Kent,Crisp & Fruity,NV
Heidsieck & Co. Monopole 'Bronze Top' Brut Champagne,£29.99 per bottle,75CL,Pinot Noir,Natural Cork,France,"Pear, Bread, Citrus Fruit",White,ABV 12.50%,,Crisp & Fruity,NV
"Viñalba 'Reserve' Malbec 2020/21, Mendoza",£12.99 per bottle,75CL,Malbec,Natural Cork,Argentina,"Violet, Black Fruit, Red Fruit, Ripe Fruit, Vanilla",Red,ABV 14.50%,Mendoza,Soft & Fruity,2020/21
La Raia 'Il Borgo' Organic Gavi 2021,£14.99 per bottle,75CL,Cortese,Screwcap,Italy,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",White,ABV 13.00%,Piedmont,Aromatic & Floral,2021
"La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG",£14.99 per bottle,75CL,Glera,Natural Cork,Italy,"Pear, Citrus Fruit, Floral, Green Apple",White,ABV 11.00%,Prosecco Docg,Crisp & Fruity,2021
"Les Vignobles Foncalieu 'Vallée des Pins' Rosé 2021/22, Coteaux d'Aix-en-Provence",£11.99 per bottle,75CL,Grenache,Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,ABV 12.50%,Provence,Delicate & Dry,2022
Château Recougne Bordeaux Supérieur 2019/20,£12.99 per bottle,75CL,Merlot,Natural Cork,France,"Smoke, Blackberry, Red Plum",Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2020
"Devil's Creek Sauvignon Blanc 2022, Marlborough",£9.99 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",White,ABV 13.00%,Marlborough,Crisp & Zesty,2022
"Two Hands 'Tenacity' Old Vine Shiraz 2021/22, Australia",£14.99 per bottle,75CL,Shiraz,Natural Cork,Australia,"Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Jammy, Spice",Red,ABV 14.20%,South Australia,Bold & Spicy,2022
"Olivier Dubois 'Cuvée Prestige' Pinot Noir 2021/22, France",£9.99 per bottle,75CL,Pinot Noir,Screwcap,France,"Strawberry, Cranberry, Red Cherry",Red,ABV 12.50%,Other France,Light & Elegant,2022
"Saint Clair 'Pioneer Block' Sauvignon Blanc 2020/21, Wairau Valley",£19.99 per bottle,75CL,Sauvignon Blanc,Screwcap,New Zealand,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",White,ABV 13.00%,Marlborough,Crisp & Zesty,2021
Domaine de la Tourmaline ‘Sur Lie’ Muscadet de Sèvre et Maine 2021/22,£10.99 per bottle,75CL,Melon De Bourgogne,Screwcap,France,"Pear, Bread, Green Apple, Lemon, Lime",White,ABV 12.00%,Loire,Ripe & Rounded,2022
Domaine des Patureaux Organic Pouilly-Fumé 2021/22,£18.99 per bottle,75CL,Sauvignon Blanc,Natural Cork,France,"Smoke, Citrus Fruit, Grass, Green Apple",White,ABV 13.50%,Loire,Fresh & Elegant ,2022
Definition Chablis 2022,£17.99 per bottle,75CL,Chardonnay,Screwcap,France,"Wet Stones, Green Apple, Lemon",White,ABV 12.50%,Burgundy,Fresh & Elegant ,2022
Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2021/22,£23.99 per bottle,75CL,Sauvignon Blanc,Natural Cork,France,"Green Apple, Citrus Fruit, Grass",White,ABV 13.50%,Loire,Fresh & Elegant ,2022
Nicolas Feuillatte 2012/15 Champagne,£34.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Pear, Biscuit, Green Apple, Pastry",White,ABV 12.00%,,Rich & Toasty,2015
Chosen by Majestic Prosecco DOC,£9.99 per bottle,750ML,Glera,Natural Cork,Italy,"Floral, Peach, Pear",White,ABV 11.00%,Prosecco Doc,Crisp & Fruity,NV
Pommery 'Brut Royal' Champagne,£43.99 per bottle,75CL,Chardonnay,Natural Cork,France,"Honey, Almond, Citrus Fruit, Floral, Green Apple",White,ABV 12.50%,,Crisp & Fruity,NV
"Rocklin Ranch Cabernet Sauvignon 2020/21, Monterey",£18.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,USA,"Vanilla, Black Fruit, Black Plum, Blackberry, Blueberry",Red,ABV 14.50%,California,Smooth & Mellow,2021
"Rocklin Ranch Chardonnay 2020/21, Monterey",£18.99 per bottle,75CL,Chardonnay,Natural Cork,USA,"Vanilla, Butter, Green Apple, Lemon, Peach, Tropical Fruit",White,ABV 13.50%,California,Rich & Toasty,2021
"Rocklin Ranch Pinot Noir 2020/21, Monterey",£18.99 per bottle,75CL,Pinot Noir,Natural Cork,USA,"Vanilla, Cloves, Raspberry, Red Cherry, Red Fruit, Spice",Red,ABV 13.50%,California,Light & Elegant,2021
"Mayu Carménère Appassimento 2019/20, Chile",£12.99 per bottle,75CL,Carménère,Natural Cork,Chile,"Vanilla, Black Plum, Blackberry, Green Bell Pepper, Spice, Sweet Spice",Red,ABV 14.50%,North,Rich & Juicy,2020
"Definition Zinfandel 2019/20, Lodi",£10.99 per bottle,75CL,Zinfandel,Screwcap,USA,"Spice, Black Cherry, Blueberry, Raspberry",Red,ABV 14.50%,California,Rich & Juicy,2020
Langlois-Chateau 'Classique' Crémant de Loire Brut,£19.99 per bottle,75CL,Chenin Blanc,Natural Cork,France,"Citrus Fruit, Pastry, Pear",White,ABV 12.50%,Loire,Crisp & Fruity,NV
